"stateFlagCode","state","LifeExpectancy_LifeExpectancyForBothSexes_yrs_2021","LifeExpectancy_LifeExpectancyForMales_yrs_2021","LifeExpectancy_LifeExpectancyForFemales_yrs_2021"
,"Alabama",72,68.9,75.3
,"Alaska",74.5,72.2,77.3
,"Arizona",75,72,78.3
,"Arkansas",72.5,69.7,75.6
,"California",78.3,75.3,81.4
,"Colorado",77.7,75,80.6
,"Connecticut",79.2,76.3,82
,"Delaware",76.3,73.3,79.4
,"District of Columbia",75.3,71.9,78.5
,"Florida",76.1,73.1,79.3
,"Georgia",74.3,71.6,77.1
,"Hawaii",79.9,77,83.1
,"Idaho",77.2,74.8,79.7
,"Illinois",77.1,74.2,80
,"Indiana",74.6,71.8,77.5
,"Iowa",77.7,75.2,80.4
,"Kansas",76,73.4,78.7
,"Kentucky",72.3,69.6,75.3
,"Louisiana",72.2,68.8,75.9
,"Maine",76.7,73.8,79.8
,"Maryland",77.2,74.3,79.9
,"Massachusetts",79.6,76.9,82.2
,"Michigan",75.7,72.9,78.6
,"Minnesota",78.8,76.3,81.4
,"Mississippi",70.9,67.7,74.3
,"Missouri",74.6,71.6,77.8
,"Montana",75.8,73.1,78.8
,"Nebraska",77.8,75.4,80.3
,"Nevada",75.1,72.4,78.2
,"New Hampshire",78.5,76.1,81.1
,"New Jersey",79,76.3,81.6
,"New Mexico",73,69.4,77
,"New York",79,76.3,81.6
,"North Carolina",74.9,72,77.9
,"North Dakota",77.6,75,80.5
,"Ohio",74.5,71.7,77.5
,"Oklahoma",72.7,70,75.6
,"Oregon",77.4,74.8,80.2
,"Pennsylvania",76.4,73.6,79.3
,"Rhode Island",78.5,75.9,81
,"South Carolina",73.5,70.4,76.7
,"South Dakota",76.6,74.1,79.3
,"Tennessee",72.4,69.4,75.5
,"Texas",75.4,72.7,78.3
,"Utah",78.2,76.3,80.2
,"Vermont",78.4,75.7,81.2
,"Virginia",76.8,74.2,79.4
,"Washington",78.2,75.8,80.8
,"West Virginia",71,68.1,74.2
,"Wisconsin",77.8,75.4,80.3
,"Wyoming",75,72.5,77.7
