date,ticker,open,high,low,close,volume
2005-01-03,SPY,120.0,121.603,119.5388,121.1374,93639900
2005-01-04,SPY,121.1374,122.6187,120.4346,121.9113,84074385
2005-01-05,SPY,121.9113,126.8289,121.2042,126.0975,86795193
2005-01-06,SPY,126.0975,126.1649,125.2193,125.2862,103052586
2005-01-07,SPY,125.2862,127.9908,124.2676,126.9586,93589438
2005-01-10,SPY,126.9586,127.2987,124.7266,125.0617,63676900
2005-01-11,SPY,125.0617,125.2262,123.1166,123.2788,89722423
2005-01-12,SPY,123.2788,124.6937,122.9417,124.3537,89846209
2005-01-13,SPY,124.3537,124.4255,123.0973,123.1684,59754956
2005-01-14,SPY,123.1684,123.6701,120.0324,120.5233,70883883
2005-01-17,SPY,120.5233,122.5824,119.7886,121.8397,72858876
2005-01-18,SPY,121.8397,123.2471,121.3966,122.8005,54754827
2005-01-19,SPY,122.8005,123.3306,122.4825,123.012,75504286
2005-01-20,SPY,123.012,126.8317,121.9796,125.7761,87651177
2005-01-21,SPY,125.7761,126.4044,124.0695,124.6924,86404845
2005-01-24,SPY,124.6924,125.6336,124.0444,124.9841,70699922
2005-01-25,SPY,124.9841,127.5134,123.7668,126.2835,89089343
2005-01-26,SPY,126.2835,126.5189,124.7072,124.9401,117829487
2005-01-27,SPY,124.9401,126.3501,123.9356,125.3423,71072738
2005-01-28,SPY,125.3423,125.7694,124.8932,125.3203,87864565
2005-01-31,SPY,125.3203,125.8782,123.8014,124.355,96587077
2005-02-01,SPY,124.355,126.7479,123.3208,125.7025,108626013
2005-02-02,SPY,125.7025,126.4545,125.4873,126.2384,101940626
2005-02-03,SPY,126.2384,127.8288,125.5563,127.1418,66743537
2005-02-04,SPY,127.1418,127.8219,127.0179,127.6974,81609893
2005-02-07,SPY,127.6974,129.5559,127.1643,129.0173,101628929
2005-02-08,SPY,129.0173,129.1971,126.538,126.7146,92253602
2005-02-09,SPY,126.7146,127.171,124.4719,124.9218,69594439
2005-02-10,SPY,124.9218,126.221,123.8034,125.1009,111853419
