customer_id,monthly_spend,sessions_last_30d,avg_session_minutes,support_tickets,account_age_days,region,device_type,plan_tier,signup_channel,is_premium,churned
100000,53.53,15,18.36,1,284,west,web,business,organic,1,0
100001,88.87,16,27.38,2,591,midwest,android,basic,organic,0,0
100002,38.26,7,20.09,2,796,west,ios,business,paid,1,0
100003,81.48,11,13.56,3,1589,west,android,basic,paid,0,0
100004,118.13,13,9.44,2,1555,west,ios,pro,organic,1,0
100005,72.34,11,,1,1167,south,android,basic,partner,0,0
100006,79.03,13,12.34,1,217,west,android,pro,paid,1,0
100007,47.33,16,16.56,2,1304,midwest,android,basic,paid,0,0
100008,64.66,15,10.5,0,842,midwest,android,business,sales,1,0
100009,151.29,15,19.96,2,1184,northeast,ios,pro,organic,1,0
100010,90.63,12,,1,796,,ios,pro,paid,1,0
100011,51.92,8,5.84,2,1306,west,web,basic,organic,0,0
100012,76.67,10,13.32,1,415,south,android,basic,organic,0,0
100013,30.49,12,9.79,1,286,northeast,android,business,organic,1,0
100014,51.49,7,7.71,1,419,west,android,business,sales,1,0
100015,136.97,9,10.81,0,1662,south,web,basic,organic,0,0
100016,82.87,11,10.19,1,163,midwest,android,basic,sales,0,0
100017,156.07,14,,2,535,northeast,ios,basic,paid,0,0
100018,84.57,11,10.9,2,636,south,android,basic,sales,0,0
100019,86.7,14,11.3,0,1510,south,android,basic,paid,0,0
100020,111.07,8,13.98,1,665,midwest,android,pro,paid,1,0
100021,5.0,15,19.07,3,1611,,web,basic,paid,0,0
100022,95.38,14,21.35,1,1778,west,android,business,sales,1,0
100023,86.24,11,14.74,0,1182,west,web,business,paid,1,0
100024,141.5,8,15.13,0,637,south,android,basic,sales,0,0
100025,122.73,14,13.08,1,1088,south,android,basic,,0,0
100026,47.19,13,16.41,1,1214,west,android,basic,paid,0,0
100027,132.72,13,15.95,0,223,northeast,android,basic,sales,0,0
100028,78.56,13,20.63,3,1504,midwest,ios,pro,paid,1,0
100029,55.44,9,4.56,1,802,south,android,pro,organic,1,0
100030,95.1,16,12.83,1,1527,midwest,ios,basic,organic,0,0
100031,80.7,5,15.7,2,1112,,ios,business,paid,1,0
100032,143.38,10,13.87,4,1553,northeast,web,basic,partner,0,0
100033,100.26,13,9.3,1,174,midwest,ios,basic,organic,0,0
100034,95.4,14,7.5,1,105,northeast,web,business,paid,1,0
100035,120.42,16,18.03,1,227,west,android,basic,sales,0,0
100036,127.34,14,10.22,1,1577,south,android,basic,organic,0,0
100037,116.21,8,5.23,0,1788,midwest,web,basic,partner,0,0
100038,139.1,8,18.28,1,1797,south,android,basic,organic,0,0
100039,109.91,11,16.29,2,618,northeast,web,basic,sales,0,0
100040,94.04,10,,0,497,south,ios,pro,organic,1,0
100041,132.61,10,9.43,2,649,,android,basic,organic,0,0
100042,84.73,15,13.43,0,1476,south,android,pro,paid,1,0
100043,89.2,11,20.08,2,475,south,android,basic,organic,0,0
100044,149.98,11,5.93,0,998,midwest,android,basic,paid,0,0
100045,146.39,10,6.18,0,1173,south,android,business,partner,1,0
100046,87.71,11,10.86,0,669,south,ios,pro,organic,1,0
100047,71.67,13,13.87,4,867,south,ios,pro,paid,1,0
100048,140.67,6,11.52,2,1207,west,web,basic,organic,0,0
100049,116.82,10,17.21,1,1429,west,android,basic,sales,0,0
100050,99.36,7,19.44,4,365,northeast,android,pro,paid,1,0
100051,76.41,13,15.39,0,937,south,android,business,paid,1,0
100052,99.94,13,,3,303,west,web,pro,organic,1,0
100053,87.22,20,,1,57,northeast,web,basic,paid,0,0
100054,64.08,15,14.05,3,1171,midwest,ios,basic,paid,0,0
100055,92.65,12,7.53,1,884,west,web,basic,sales,0,0
100056,97.56,19,8.86,0,489,south,ios,basic,partner,0,0
100057,74.49,12,7.25,1,127,south,android,basic,organic,0,0
100058,120.54,10,13.26,1,1704,northeast,web,basic,organic,0,0
100059,134.4,11,15.16,2,1493,south,ios,basic,sales,0,0
100060,122.92,8,6.75,1,1685,west,ios,pro,organic,1,0
100061,78.06,7,14.36,2,231,west,android,pro,partner,1,0
100062,115.21,10,9.62,2,54,midwest,web,pro,organic,1,0
100063,90.81,14,8.65,2,414,northeast,ios,basic,organic,0,0
100064,43.51,9,10.87,2,207,midwest,android,basic,organic,0,0
100065,112.22,13,8.4,2,844,west,android,business,organic,1,0
100066,93.26,10,17.03,2,1172,west,android,basic,sales,0,0
100067,181.37,8,13.16,3,375,,android,business,sales,1,0
100068,140.46,12,18.08,0,732,,android,basic,organic,0,0
100069,113.6,15,11.78,1,984,south,android,pro,organic,1,0
100070,96.97,11,11.97,1,591,midwest,android,basic,organic,0,0
100071,93.89,15,,3,845,northeast,web,pro,sales,1,0
100072,51.87,19,5.88,1,1074,northeast,web,business,organic,1,0
100073,25.4,8,20.42,2,1715,midwest,ios,basic,partner,0,0
100074,56.59,13,22.27,0,579,northeast,android,pro,sales,1,0
100075,86.28,8,17.83,2,186,west,android,business,organic,1,0
100076,12.2,12,12.35,0,1567,midwest,ios,pro,organic,1,0
100077,68.4,7,21.13,0,1050,west,android,basic,organic,0,0
100078,79.09,14,12.39,1,865,northeast,android,basic,organic,0,0
100079,80.24,14,10.47,2,1305,south,ios,business,organic,1,0
100080,64.18,7,12.06,1,1766,midwest,android,pro,paid,1,0
100081,75.71,18,11.15,0,255,south,android,business,organic,1,0
100082,150.06,10,9.27,1,1553,south,android,basic,organic,0,0
100083,111.84,10,19.55,3,1156,south,web,pro,paid,1,0
100084,67.83,13,10.13,1,1066,west,ios,pro,paid,1,0
100085,85.54,8,13.85,1,1559,northeast,android,business,sales,1,0
100086,86.98,21,,1,568,south,android,pro,sales,1,0
100087,60.35,18,14.15,2,1423,midwest,android,basic,organic,0,0
100088,60.31,12,8.22,1,1039,northeast,android,pro,paid,1,0
100089,124.38,9,,1,1685,west,ios,pro,sales,1,0
100090,72.89,13,13.45,0,857,south,ios,basic,sales,0,0
100091,48.59,13,19.28,2,1305,south,android,basic,organic,0,0
100092,86.45,11,16.2,1,910,west,ios,business,organic,1,0
100093,92.25,11,16.55,0,727,midwest,web,basic,,0,0
100094,16.98,9,13.35,2,694,south,android,basic,organic,0,0
100095,86.53,16,12.32,1,1659,northeast,ios,pro,sales,1,0
100096,119.25,8,17.96,2,1512,northeast,android,business,organic,1,0
100097,104.24,10,11.18,2,428,south,web,pro,paid,1,0
100098,168.27,18,18.17,0,1562,midwest,ios,basic,organic,0,0
100099,133.04,10,20.18,0,1063,west,android,basic,paid,0,0
100100,140.16,7,9.79,1,214,south,ios,basic,sales,0,0
100101,188.8,5,10.53,2,1385,west,web,basic,sales,0,0
100102,115.29,5,11.27,2,317,south,android,pro,organic,1,0
100103,93.87,14,6.67,2,1573,west,android,basic,sales,0,0
100104,123.05,10,11.65,2,834,midwest,android,basic,organic,0,0
100105,67.87,4,20.51,3,1652,south,android,business,organic,1,0
100106,91.88,9,8.77,0,885,south,android,basic,organic,0,0
100107,64.68,13,20.63,1,180,south,ios,basic,organic,0,0
100108,102.33,12,11.83,2,1387,midwest,ios,basic,paid,0,0
100109,64.53,16,24.57,4,1315,northeast,ios,basic,organic,0,0
100110,63.27,18,10.59,0,565,west,android,basic,paid,0,0
100111,102.89,15,13.28,3,391,south,web,business,paid,1,0
100112,83.04,15,9.45,1,1558,south,ios,pro,partner,1,0
