time_s,setpoint,true_speed,raw_measurement,filtered_measurement,control_output,error,jitter_ms,sensor_delay_ms,overrun
0.011764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.448039,0,0
0.021613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.297111,0,0
0.031378,0.000000,0.249442,-2.223760,-2.223760,8.730483,2.223760,0.062071,11,0
0.042270,0.000000,0.249570,0.887247,-1.749200,0.253896,1.749200,0.953590,13,0
0.052183,0.000000,0.242439,3.407995,-1.015457,0.000000,1.015457,0.867368,4,0
0.061944,0.000000,0.266084,3.407995,-1.015457,1.070012,1.015457,0.628321,4,0
0.071803,0.000000,0.258482,-0.895672,-0.669659,0.000000,0.669659,0.487112,0,0
0.081392,0.000000,0.273771,-0.895672,-0.669659,0.793616,0.669659,0.075746,0,0
0.092177,0.000000,0.289121,-0.895672,-0.669659,0.811027,0.669659,0.860989,0,0
0.101970,0.000000,0.326374,-3.537439,-0.864389,1.592949,0.864389,0.653519,0,0
0.111702,0.000000,0.346512,-3.537439,-0.864389,1.031233,0.864389,0.385997,0,0
0.121418,0.000000,0.336612,1.979403,-0.533041,0.000000,0.533041,0.102165,13,0
0.132158,0.000000,0.385685,-1.479436,-0.862492,2.054161,0.862492,0.842377,4,0
0.142420,0.000000,0.425686,-2.438923,-1.040153,1.785733,1.040153,1.104211,7,0
0.152105,0.000000,0.450089,-2.438923,-1.040153,1.279792,1.040153,0.788868,7,0
0.161813,0.000000,0.471664,-0.808861,-1.014266,1.205201,1.014266,0.496618,14,0
0.171594,0.000000,0.462114,1.667105,-0.715787,0.137408,0.715787,0.277874,11,0
0.182441,0.000000,0.477844,-0.626652,-0.705908,1.012669,0.705908,1.124703,15,0
0.192218,0.000000,0.494496,-0.626652,-0.705908,1.060660,0.705908,0.902237,15,0
0.201986,0.000000,0.511196,-0.626652,-0.705908,1.079013,0.705908,0.669840,15,0
0.211556,0.000000,0.510116,0.733041,-0.546972,0.473386,0.546972,0.240118,26,0
0.222433,0.000000,0.523096,0.733041,-0.546972,0.964414,0.546972,1.116600,26,0
0.232158,0.000000,0.508150,-0.680317,-0.282863,0.000000,0.282863,0.842136,3,0
0.241842,0.000000,0.514815,-0.680317,-0.282863,0.741424,0.282863,0.525508,3,0
0.251658,0.000000,0.500106,4.219372,0.210457,0.000000,-0.210457,0.342008,21,0
0.261377,0.000000,0.499089,0.489051,0.165116,0.464502,-0.165116,0.060851,5,0
0.272046,0.000000,0.494092,0.489051,0.165116,0.324186,-0.165116,0.729856,5,0
0.281719,0.000000,0.489115,0.489051,0.165116,0.319893,-0.165116,0.403277,5,0
0.291439,0.000000,0.475140,2.134204,0.380305,0.000000,-0.380305,0.122755,28,0
0.302184,0.000000,0.464606,2.134204,0.380305,0.106446,-0.380305,0.868030,28,0
0.311965,0.000000,0.454090,2.134204,0.380305,0.096558,-0.380305,0.649271,28,0
0.321901,0.000000,0.441116,6.010716,0.764622,0.000000,-0.764622,0.584670,9,0
0.331852,0.000000,0.428513,6.010716,0.764622,0.000000,-0.764622,0.536005,9,0
0.341543,0.000000,0.416270,2.815792,0.988486,0.000000,-0.988486,0.227039,17,0
0.352324,0.000000,0.404376,1.893203,1.087200,0.000000,-1.087200,1.008105,5,0
0.362116,0.000000,0.410671,-1.613794,0.759556,0.624688,-0.759556,0.800086,2,0
0.371773,0.000000,0.398937,-1.613794,0.759556,0.000000,-0.759556,0.457429,2,0
0.381528,0.000000,0.387539,-1.613794,0.759556,0.000000,-0.759556,0.211892,2,0
0.392302,0.000000,0.418923,-0.533738,0.274717,1.485988,-0.274717,0.986057,8,0
0.401973,0.000000,0.407649,-0.533738,0.274717,0.024329,-0.274717,0.657360,8,0
0.411681,0.000000,0.396493,-0.533738,0.274717,0.017186,-0.274717,0.364620,8,0
0.421391,0.000000,0.385165,2.510738,0.518514,0.000000,-0.518514,0.075182,29,0
0.432297,0.000000,0.396895,-1.875940,0.257460,0.795703,-0.257460,0.980549,8,0
0.442017,0.000000,0.385555,0.665752,0.301972,0.000000,-0.301972,0.700601,9,0
0.451773,0.000000,0.374539,0.665752,0.301972,0.000000,-0.301972,0.457136,9,0
0.461500,0.000000,0.363838,0.665752,0.301972,0.000000,-0.301972,0.183753,9,0
0.472356,0.000000,0.353442,1.587190,0.316583,0.000000,-0.316583,1.039663,9,0
0.482081,0.000000,0.343344,1.528083,0.448645,0.000000,-0.448645,0.765469,0,0
0.491779,0.000000,0.333534,1.528083,0.448645,0.000000,-0.448645,0.462650,0,0
0.501529,0.000000,0.324005,2.109031,0.629635,0.000000,-0.629635,0.213288,22,0
0.512335,0.000000,0.314747,2.109031,0.629635,0.000000,-0.629635,1.018926,22,0
0.522248,0.000000,0.317937,-1.363688,0.412357,0.426391,-0.412357,0.932346,22,0
0.531975,0.000000,0.308853,-1.363688,0.412357,0.000000,-0.412357,0.658815,22,0
0.541625,0.000000,0.300029,-1.363688,0.412357,0.000000,-0.412357,0.309492,22,0
0.552397,0.000000,0.293031,-0.318396,0.332704,0.055112,-0.332704,1.081314,28,0
0.562096,0.000000,0.284659,-0.318396,0.332704,0.000000,-0.332704,0.779527,28,0
0.571760,0.000000,0.276526,-0.318396,0.332704,0.000000,-0.332704,0.443795,28,0
0.581619,0.000000,0.296847,-1.936144,0.027667,0.987779,-0.027667,0.303427,1,0
0.592358,0.000000,0.290422,-1.936144,0.027667,0.071947,-0.027667,1.041796,1,0
0.602082,0.000000,0.310197,-2.101992,-0.204462,0.982564,0.204462,0.765702,20,0
0.611846,0.000000,0.309663,-2.101992,-0.204462,0.291495,0.204462,0.530020,20,0
0.621466,0.000000,0.300815,1.979254,0.033558,0.000000,-0.033558,0.149744,22,0
0.632441,0.000000,0.294379,1.979254,0.033558,0.075532,-0.033558,1.124818,22,0
0.642112,0.000000,0.285968,0.887501,0.126635,0.000000,-0.126635,0.795729,17,0
0.651916,0.000000,0.277797,1.009240,0.222836,0.000000,-0.222836,0.600165,14,0
0.661624,0.000000,0.269860,1.009240,0.222836,0.000000,-0.222836,0.308090,14,0
0.672359,0.000000,0.262150,1.009240,0.222836,0.000000,-0.222836,1.042776,14,0
0.682119,0.000000,0.266489,-1.028090,0.086490,0.414011,-0.086490,0.802745,26,0
0.691767,0.000000,0.258953,-1.028090,0.086490,0.002722,-0.086490,0.450784,26,0
0.701473,0.000000,0.251568,-1.028090,0.086490,0.000474,-0.086490,0.157058,26,0
0.712455,0.000000,0.244380,0.927930,0.484697,0.000000,-0.484697,1.138747,7,0
0.722206,0.000000,0.237398,0.927930,0.484697,0.000000,-0.484697,0.890367,7,0
0.731911,0.000000,0.295067,-2.600103,-0.190687,2.255838,0.190687,0.595184,0,0
0.741642,0.000000,0.293341,-2.600103,-0.190687,0.234644,0.190687,0.325955,0,0
0.751385,0.000000,0.284960,2.378324,0.089325,0.000000,-0.089325,0.068542,17,0
0.762228,0.000000,0.279169,-0.154384,0.062762,0.082276,-0.062762,0.912260,15,0
0.771949,0.000000,0.271220,-0.154384,0.062762,0.000954,-0.062762,0.632642,15,0
0.781649,0.000000,0.263471,0.985445,0.163330,0.000000,-0.163330,0.333289,18,0
0.791382,0.000000,0.271216,-1.315046,0.002193,0.534572,-0.002193,0.065889,12,0
