user_id,item_id,surface,clicked,purchased,seconds_watched,position,hour_of_day,device_type
user_0134,item_0623,home,1,0,49,15,22,web
user_0199,item_0064,search,0,0,65,10,14,web
user_0002,item_0504,search,1,0,159,11,1,web
user_0185,item_0366,related_items,0,0,8,16,13,android
user_0004,item_0047,search,1,0,140,14,17,web
user_0156,item_0384,related_items,0,0,67,11,7,android
user_0069,item_0863,home,0,0,182,12,15,android
user_0007,item_0824,related_items,0,0,226,13,9,ios
user_0203,item_0374,home,1,0,146,19,21,android
user_0135,item_0604,search,1,0,122,19,13,android
user_0057,item_0528,related_items,0,0,203,16,19,android
user_0180,item_0774,home,0,0,40,15,13,android
user_0029,item_0028,home,0,0,23,18,7,web
user_0235,item_0385,related_items,0,0,137,6,2,web
user_0013,item_0672,related_items,0,0,219,1,21,web
user_0188,item_0051,related_items,0,0,112,12,1,web
user_0080,item_0638,related_items,0,0,141,6,13,ios
user_0033,item_0859,related_items,0,0,83,10,16,ios
user_0014,item_0575,search,1,0,40,17,6,ios
user_0099,item_0888,home,0,0,46,10,11,web
user_0129,item_0994,related_items,0,0,100,18,8,ios
user_0177,item_0629,search,0,0,171,5,19,ios
user_0136,item_0633,home,1,0,206,6,18,web
user_0045,item_0569,related_items,0,0,76,17,20,ios
user_0191,item_0404,home,0,0,62,6,9,web
user_0144,item_0776,home,1,1,228,18,9,web
user_0052,item_0478,related_items,0,0,223,16,7,ios
user_0128,item_0842,related_items,1,0,18,19,6,android
user_0068,item_0117,related_items,1,0,181,17,9,android
user_0173,item_0964,home,1,0,115,9,7,android
user_0249,item_0713,home,0,0,218,2,4,android
user_0062,item_0162,home,0,0,39,5,1,web
user_0059,item_0722,search,0,0,203,13,1,web
user_0132,item_0766,search,1,0,201,1,10,web
user_0098,item_0975,related_items,1,1,213,16,1,android
user_0008,item_0327,related_items,0,0,150,5,9,android
user_0149,item_0219,home,0,0,100,17,13,web
user_0186,item_0542,home,0,0,226,18,20,web
user_0175,item_0827,related_items,0,0,46,7,19,ios
user_0154,item_0775,home,0,0,66,14,7,ios
user_0083,item_0131,related_items,0,0,98,3,18,web
user_0201,item_0638,search,0,0,130,8,15,android
user_0060,item_0483,search,1,0,64,12,10,web
user_0046,item_0188,home,0,0,221,20,6,web
user_0050,item_0882,related_items,0,0,190,17,4,ios
user_0067,item_0516,home,0,0,123,17,16,android
user_0137,item_0146,related_items,0,0,170,17,1,web
user_0249,item_0338,home,0,0,201,5,6,ios
user_0164,item_0072,search,0,0,125,11,11,web
user_0246,item_0145,related_items,0,0,16,16,12,android
user_0023,item_0659,related_items,0,0,221,12,7,android
user_0201,item_0062,home,1,0,102,8,8,ios
user_0148,item_0052,home,0,0,217,10,18,ios
user_0206,item_0068,related_items,0,0,214,5,21,ios
user_0210,item_0079,related_items,0,0,93,19,20,web
user_0128,item_0051,related_items,0,0,227,5,6,ios
user_0057,item_0870,search,1,0,134,17,8,android
user_0183,item_0528,related_items,0,0,109,4,21,android
user_0055,item_0091,related_items,1,0,5,12,0,web
user_0194,item_0491,home,0,0,162,9,15,web
user_0028,item_0937,related_items,0,0,219,9,18,ios
user_0053,item_0608,home,0,0,94,6,23,ios
user_0121,item_0332,home,0,0,7,10,20,ios
user_0231,item_0481,related_items,0,0,154,11,4,ios
user_0122,item_0693,related_items,0,0,178,6,5,android
user_0169,item_0409,related_items,0,0,141,3,13,android
user_0233,item_0937,search,0,0,155,4,19,ios
user_0108,item_0285,home,0,0,125,4,15,ios
user_0169,item_0698,search,0,0,174,10,6,ios
user_0228,item_0016,related_items,0,0,180,6,18,ios
user_0017,item_0345,home,0,0,182,5,9,web
user_0206,item_0875,home,1,0,16,8,15,ios
user_0231,item_0892,home,1,0,97,12,12,ios
user_0115,item_0240,search,0,0,72,11,15,ios
user_0179,item_0922,search,0,0,18,12,21,android
user_0105,item_0870,search,1,0,190,5,2,web
user_0012,item_0708,search,1,0,38,16,4,android
user_0184,item_0284,related_items,0,0,23,14,14,android
user_0121,item_0062,search,1,0,50,17,15,android
user_0056,item_0615,related_items,1,1,103,13,16,web
user_0031,item_0926,home,0,0,146,1,1,web
user_0081,item_0126,related_items,0,0,187,1,13,android
user_0024,item_0932,search,1,0,192,3,17,ios
user_0196,item_0339,search,1,1,148,11,9,android
user_0117,item_0821,search,0,0,79,6,15,ios
user_0148,item_0992,related_items,0,0,203,13,12,ios
user_0109,item_0703,search,0,0,206,1,3,android
user_0186,item_0351,home,1,0,109,13,4,web
user_0029,item_0058,home,1,0,59,10,9,android
user_0075,item_0626,search,0,0,207,11,21,android
user_0062,item_0346,related_items,1,0,134,11,17,web
user_0140,item_0176,home,0,0,90,1,12,web
user_0185,item_0987,related_items,0,0,18,11,14,android
user_0078,item_0935,search,0,0,46,13,20,android
user_0149,item_0842,related_items,0,0,214,15,10,android
user_0005,item_0431,search,0,0,156,6,9,web
user_0242,item_0520,home,0,0,76,20,4,android
user_0152,item_0974,search,0,0,193,8,7,ios
user_0217,item_0135,related_items,0,0,165,17,19,web
user_0125,item_0517,home,0,0,31,12,5,ios
user_0176,item_0614,home,0,0,16,7,2,android
user_0216,item_0752,related_items,0,0,185,3,10,android
user_0046,item_0165,related_items,0,0,199,8,19,ios
user_0165,item_0035,search,0,0,30,12,4,ios
user_0120,item_0775,home,1,0,137,13,13,ios
user_0055,item_0187,related_items,0,0,122,18,4,ios
user_0137,item_0845,search,1,0,110,17,2,ios
user_0098,item_0283,related_items,0,0,13,11,6,web
user_0169,item_0827,related_items,0,0,215,7,23,web
user_0001,item_0321,related_items,0,0,146,16,7,android
user_0066,item_0227,related_items,1,0,122,19,23,android
user_0058,item_0589,related_items,1,0,215,14,8,web
user_0081,item_0522,search,0,0,52,13,10,web
user_0031,item_0068,home,0,0,64,7,23,web
user_0153,item_0149,related_items,0,0,118,2,14,ios
user_0063,item_0507,related_items,0,0,202,13,0,ios
user_0119,item_0832,home,0,0,179,19,3,ios
user_0070,item_0985,related_items,1,0,206,2,10,web
user_0050,item_0741,related_items,0,0,181,12,7,web
user_0236,item_0382,related_items,0,0,236,14,2,android
user_0035,item_0409,related_items,0,0,28,19,7,android
user_0172,item_0833,related_items,0,0,239,19,3,android
user_0073,item_0927,search,0,0,176,16,17,android
user_0087,item_0719,search,0,0,209,8,19,android
user_0177,item_0050,home,0,0,163,14,6,web
user_0002,item_0902,related_items,0,0,159,6,12,android
user_0158,item_0346,search,1,0,111,16,19,web
user_0201,item_0248,search,0,0,219,8,2,web
user_0231,item_0788,home,0,0,162,8,11,web
user_0100,item_0907,related_items,1,0,153,1,16,ios
user_0090,item_0625,related_items,0,0,117,3,23,web
user_0134,item_0403,search,1,1,121,6,17,ios
user_0120,item_0989,related_items,0,0,184,17,0,android
user_0174,item_0923,search,0,0,228,18,9,android
user_0190,item_0726,search,0,0,54,12,0,web
user_0122,item_0170,home,0,0,81,14,11,android
user_0020,item_0249,search,0,0,110,18,5,android
user_0092,item_0161,home,0,0,141,12,12,ios
user_0089,item_0796,related_items,0,0,114,9,1,web
user_0190,item_0553,search,0,0,49,14,21,android
user_0030,item_0567,home,0,0,88,13,15,ios
user_0021,item_0082,related_items,0,0,152,13,15,ios
user_0219,item_0078,search,0,0,19,1,4,web
user_0127,item_0051,search,1,0,130,16,9,web
user_0179,item_0663,related_items,0,0,182,10,2,web
user_0145,item_0453,search,0,0,96,16,10,android
user_0065,item_0531,search,1,0,129,5,15,android
user_0219,item_0083,related_items,1,0,144,8,19,web
user_0022,item_0133,related_items,0,0,56,18,21,web
user_0182,item_0420,search,0,0,216,10,3,web
user_0017,item_0820,home,0,0,92,15,17,web
user_0019,item_0553,home,0,0,121,9,23,web
user_0245,item_0612,related_items,1,1,168,7,13,web
user_0179,item_0869,search,0,0,151,12,13,android
user_0017,item_0503,search,1,0,132,12,1,android
user_0166,item_0286,search,1,1,138,19,15,android
user_0223,item_0018,related_items,0,0,133,16,23,android
user_0218,item_0179,related_items,0,0,209,5,1,android
user_0045,item_0312,search,0,0,226,3,1,web
user_0011,item_0380,home,0,0,14,13,10,web
user_0120,item_0976,home,0,0,55,17,17,ios
user_0007,item_0404,search,0,0,182,7,7,web
user_0239,item_0809,home,0,0,217,1,2,ios
user_0220,item_0601,related_items,1,1,123,20,15,web
user_0049,item_0075,home,0,0,5,14,1,android
user_0005,item_0003,home,0,0,231,13,9,web
user_0024,item_0184,home,0,0,110,15,19,web
user_0160,item_0711,home,0,0,16,11,0,android
user_0111,item_0589,home,0,0,61,8,3,ios
user_0249,item_0778,search,1,0,98,15,0,android
user_0096,item_0142,related_items,0,0,79,2,16,android
user_0060,item_0951,home,0,0,190,17,5,ios
user_0180,item_0454,search,0,0,147,20,10,ios
user_0039,item_0339,search,0,0,122,17,2,ios
user_0170,item_0662,search,0,0,54,17,11,web
user_0101,item_0810,related_items,0,0,7,7,3,web
user_0248,item_0610,home,0,0,94,9,10,ios
user_0133,item_0874,related_items,1,0,135,10,21,ios
user_0242,item_0744,related_items,1,1,181,2,12,web
user_0206,item_0823,related_items,0,0,72,13,10,web
user_0189,item_0310,search,0,0,159,10,8,web
user_0095,item_0669,related_items,0,0,213,5,13,ios
user_0104,item_0234,related_items,0,0,105,9,15,web
user_0069,item_0734,home,1,0,232,12,18,android
user_0185,item_0308,home,1,0,155,11,4,android
user_0110,item_0547,home,0,0,139,15,18,android
user_0221,item_0767,related_items,0,0,100,5,12,web
user_0248,item_0982,related_items,0,0,125,12,15,ios
user_0150,item_0197,related_items,0,0,55,6,22,android
user_0078,item_0819,home,0,0,158,5,20,android
user_0082,item_0888,home,1,1,187,4,12,android
user_0162,item_0599,search,1,0,30,5,22,android
user_0136,item_0956,related_items,0,0,193,2,0,web
user_0124,item_0214,related_items,0,0,191,12,9,android
user_0176,item_0712,related_items,1,0,101,20,0,ios
user_0096,item_0826,search,1,0,191,3,2,web
user_0247,item_0439,related_items,1,0,69,6,22,android
user_0034,item_0151,related_items,1,0,113,12,8,web
user_0147,item_0948,search,1,0,31,12,16,web
user_0191,item_0681,search,1,0,76,3,11,android
user_0080,item_0933,related_items,0,0,142,9,12,web
user_0136,item_0594,home,0,0,130,6,12,android
user_0248,item_0615,search,0,0,231,7,20,ios
user_0079,item_0463,related_items,0,0,91,10,0,web
user_0195,item_0308,home,0,0,99,4,4,web
user_0112,item_0140,search,0,0,222,12,19,web
user_0189,item_0295,search,0,0,89,8,22,android
user_0222,item_0659,search,0,0,128,5,16,web
user_0051,item_0194,search,1,0,209,7,7,web
user_0166,item_0139,related_items,0,0,124,6,9,web
user_0203,item_0772,related_items,0,0,61,2,5,web
user_0205,item_0358,search,0,0,27,18,3,web
user_0178,item_0638,related_items,0,0,37,6,11,android
user_0059,item_0188,related_items,0,0,14,15,1,android
user_0159,item_0516,search,0,0,30,15,9,android
user_0248,item_0800,related_items,0,0,143,2,19,web
user_0005,item_0777,home,0,0,91,16,18,android
user_0174,item_0810,search,1,0,43,12,9,android
user_0139,item_0630,home,1,0,144,10,9,web
user_0125,item_0429,home,0,0,190,16,11,web
user_0249,item_0343,search,0,0,19,11,17,android
user_0225,item_0672,related_items,0,0,64,8,5,web
user_0063,item_0096,search,0,0,100,13,19,ios
user_0094,item_0671,home,0,0,160,12,1,ios
user_0052,item_0350,home,1,0,103,13,18,web
user_0080,item_0963,home,0,0,81,18,4,ios
user_0227,item_0785,search,0,0,155,12,3,android
user_0209,item_0350,home,0,0,211,2,14,web
user_0178,item_0613,related_items,1,0,184,11,0,ios
user_0130,item_0079,search,0,0,236,17,17,android
user_0088,item_0679,related_items,0,0,187,15,19,ios
user_0169,item_0996,home,0,0,227,19,18,android
user_0079,item_0420,home,1,0,24,10,15,android
user_0133,item_0469,home,0,0,118,11,18,android
user_0224,item_0829,home,0,0,188,8,5,android
user_0226,item_0201,search,0,0,33,2,3,ios
user_0105,item_0236,home,1,0,127,15,12,web
user_0070,item_0482,related_items,1,0,209,10,8,web
user_0223,item_0369,home,0,0,163,5,4,ios
user_0247,item_0287,home,1,0,185,12,21,web
user_0162,item_0820,home,0,0,9,6,3,web
user_0209,item_0429,home,0,0,191,7,22,ios
user_0188,item_0313,home,0,0,150,14,1,ios
user_0109,item_0656,home,0,0,108,12,7,ios
user_0101,item_0459,search,0,0,147,12,13,android
user_0029,item_0929,search,0,0,184,19,4,ios
user_0082,item_0729,home,0,0,93,1,5,ios
user_0055,item_0377,search,1,0,189,12,17,android
user_0038,item_0177,search,0,0,10,17,13,android
user_0073,item_0208,search,1,1,113,14,21,ios
user_0153,item_0260,related_items,0,0,182,14,10,web
user_0084,item_0145,home,1,1,92,14,15,web
user_0063,item_0246,search,0,0,68,1,16,android
user_0092,item_0108,home,0,0,112,11,11,web
user_0201,item_0550,related_items,1,0,91,5,2,android
user_0016,item_0523,related_items,0,0,225,12,19,android
user_0003,item_0940,related_items,0,0,238,12,12,ios
user_0167,item_0080,home,1,0,101,11,11,web
user_0167,item_0619,home,0,0,160,3,12,ios
user_0183,item_0342,home,0,0,35,8,8,android
user_0013,item_0440,related_items,1,0,206,18,23,ios
user_0219,item_0494,related_items,0,0,121,17,12,ios
user_0118,item_0334,home,0,0,42,1,5,android
user_0109,item_0502,search,1,0,9,4,3,web
user_0026,item_0803,related_items,0,0,132,4,14,ios
user_0189,item_0053,related_items,0,0,157,14,16,web
user_0131,item_0887,related_items,0,0,23,6,23,web
user_0040,item_0760,home,0,0,5,4,20,web
user_0217,item_0826,related_items,0,0,88,12,12,web
user_0057,item_0745,home,0,0,238,9,12,ios
user_0008,item_0145,home,1,0,31,10,20,ios
user_0018,item_0828,home,0,0,186,16,7,ios
user_0086,item_0283,related_items,1,0,227,12,2,android
user_0104,item_0699,home,1,0,183,14,10,android
user_0030,item_0180,search,0,0,221,11,3,android
user_0247,item_0723,search,0,0,141,15,1,ios
user_0228,item_0189,search,0,0,126,19,1,android
user_0026,item_0900,home,0,0,73,15,17,web
user_0094,item_0634,search,0,0,147,2,13,web
user_0184,item_0389,related_items,0,0,170,2,8,ios
user_0061,item_0414,home,0,0,145,16,22,android
user_0139,item_0704,related_items,1,0,234,3,0,android
user_0201,item_0924,related_items,0,0,196,20,12,ios
user_0038,item_0382,search,0,0,170,9,15,android
user_0227,item_0575,home,1,0,182,10,17,android
user_0133,item_0422,home,0,0,98,19,8,web
user_0156,item_0366,home,1,0,181,2,4,web
user_0139,item_0026,related_items,0,0,184,14,7,web
user_0142,item_0406,search,1,0,129,1,3,web
user_0054,item_0527,home,0,0,19,15,10,android
user_0064,item_0163,related_items,1,0,26,17,20,web
user_0017,item_0637,related_items,0,0,181,5,14,android
user_0045,item_0242,home,1,0,30,1,19,ios
user_0134,item_0413,home,1,1,144,19,19,web
user_0192,item_0180,home,0,0,151,5,13,web
user_0014,item_0940,home,0,0,54,6,3,ios
user_0248,item_0773,search,0,0,199,1,9,android
