item_id,title,category,popularity,price_tier
item_0000,Home Final 0,home,0.944,4
item_0001,Home Lose 1,home,0.13,3
item_0002,Tech Bed 2,tech,0.143,3
item_0003,Tech Hospital 3,tech,0.553,1
item_0004,Tech Officer 4,tech,0.185,3
item_0005,Fashion Father 5,fashion,0.767,3
item_0006,Sports Employee 6,sports,0.504,4
item_0007,Food Learn 7,food,0.285,4
item_0008,Tech Entire 8,tech,0.312,3
item_0009,Tech Gas 9,tech,0.326,2
item_0010,Home Fear 10,home,0.954,4
item_0011,Beauty Many 11,beauty,0.169,3
item_0012,Beauty Energy 12,beauty,0.25,1
item_0013,Sports Control 13,sports,0.5,2
item_0014,Food Beyond 14,food,0.503,2
item_0015,Sports Become 15,sports,0.483,4
item_0016,Beauty City 16,beauty,0.531,3
item_0017,Fashion Push 17,fashion,0.633,2
item_0018,Tech Large 18,tech,0.197,1
item_0019,Fashion Film 19,fashion,0.726,3
item_0020,Fitness Establish 20,fitness,0.55,1
item_0021,Food Quality 21,food,0.406,1
item_0022,Fitness Could 22,fitness,0.699,3
item_0023,Home Other 23,home,0.847,2
item_0024,Books Similar 24,books,0.285,4
item_0025,Books Throw 25,books,0.318,4
item_0026,Fitness Stage 26,fitness,0.64,4
item_0027,Food They 27,food,0.4,4
item_0028,Food Debate 28,food,0.407,4
item_0029,Books Him 29,books,0.77,3
item_0030,Home Both 30,home,0.665,4
item_0031,Beauty Himself 31,beauty,0.1,2
item_0032,Beauty Increase 32,beauty,0.617,3
item_0033,Books Lawyer 33,books,0.726,1
item_0034,Fitness Teach 34,fitness,0.691,2
item_0035,Fashion Upon 35,fashion,0.818,2
item_0036,Books Miss 36,books,0.896,3
item_0037,Sports Man 37,sports,0.101,4
item_0038,Sports Entire 38,sports,0.984,3
item_0039,Sports Budget 39,sports,0.784,1
item_0040,Fashion Up 40,fashion,0.603,2
item_0041,Tech Matter 41,tech,0.685,1
item_0042,Books Operation 42,books,0.773,4
item_0043,Fashion Win 43,fashion,0.9,3
item_0044,Beauty Remember 44,beauty,0.297,3
item_0045,Fashion Generation 45,fashion,0.837,3
item_0046,Sports Million 46,sports,0.473,2
item_0047,Books Body 47,books,0.151,4
item_0048,Beauty Could 48,beauty,0.41,1
item_0049,Food Boy 49,food,0.204,4
item_0050,Fitness Road 50,fitness,0.706,3
item_0051,Food Entire 51,food,0.86,1
item_0052,Fitness Network 52,fitness,0.123,4
item_0053,Fashion Reach 53,fashion,0.476,2
item_0054,Home How 54,home,0.124,3
item_0055,Home Forget 55,home,0.145,2
item_0056,Fashion Sit 56,fashion,0.164,3
item_0057,Home Claim 57,home,0.393,4
item_0058,Fitness Million 58,fitness,0.367,1
item_0059,Home But 59,home,0.286,3
item_0060,Home Certainly 60,home,0.797,1
item_0061,Food Part 61,food,0.129,3
item_0062,Tech Watch 62,tech,0.173,3
item_0063,Books Station 63,books,0.844,4
item_0064,Fitness Rate 64,fitness,0.108,2
item_0065,Fashion Record 65,fashion,0.604,3
item_0066,Food Pass 66,food,0.452,2
item_0067,Home Term 67,home,0.954,1
item_0068,Books To 68,books,0.506,1
item_0069,Fashion Time 69,fashion,0.654,2
item_0070,Home Everyone 70,home,0.15,1
item_0071,Fashion Save 71,fashion,0.324,3
item_0072,Sports Specific 72,sports,0.361,3
item_0073,Food Practice 73,food,0.617,4
item_0074,Tech Community 74,tech,0.529,2
item_0075,Food Wide 75,food,0.59,3
item_0076,Fashion Book 76,fashion,0.271,3
item_0077,Tech Religious 77,tech,0.444,4
item_0078,Food War 78,food,0.648,1
item_0079,Books Officer 79,books,0.426,3
item_0080,Food Wear 80,food,0.279,3
item_0081,Books Word 81,books,0.292,1
item_0082,Sports Hotel 82,sports,0.206,4
item_0083,Books Miss 83,books,0.609,3
item_0084,Fashion End 84,fashion,0.395,3
item_0085,Fashion Resource 85,fashion,0.84,2
item_0086,Tech Just 86,tech,0.152,2
item_0087,Books Rate 87,books,0.158,2
item_0088,Fitness Member 88,fitness,0.308,1
item_0089,Sports Series 89,sports,0.586,3
item_0090,Fashion Term 90,fashion,0.138,2
item_0091,Fitness Issue 91,fitness,0.626,1
item_0092,Fitness Arm 92,fitness,0.792,1
item_0093,Fitness Few 93,fitness,0.597,3
item_0094,Food Region 94,food,0.212,4
item_0095,Fitness Member 95,fitness,0.468,3
